Date,ETHUSDT WAVESUSDT_cum_rets,NEOUSDT ATOMUSDT_cum_rets,LTCUSDT ONTUSDT_cum_rets,LTCUSDT HOTUSDT_cum_rets,LTCUSDT IOSTUSDT_cum_rets,LTCUSDT MITHUSDT_cum_rets,QTUMUSDT IOSTUSDT_cum_rets,EOSUSDT MITHUSDT_cum_rets,XLMUSDT ZILUSDT_cum_rets,XLMUSDT MATICUSDT_cum_rets,ONTUSDT ONGUSDT_cum_rets,ONTUSDT IOSTUSDT_cum_rets,ETCUSDT ICXUSDT_cum_rets,ETCUSDT NULSUSDT_cum_rets,ETCUSDT ONGUSDT_cum_rets,ETCUSDT ZILUSDT_cum_rets,ETCUSDT IOSTUSDT_cum_rets,ICXUSDT LINKUSDT_cum_rets,NULSUSDT ONGUSDT_cum_rets,ONGUSDT IOSTUSDT_cum_rets,HOTUSDT IOSTUSDT_cum_rets,ZRXUSDT MATICUSDT_cum_rets,FETUSDT IOSTUSDT_cum_rets,BATUSDT MATICUSDT_cum_rets
2019-06-13,1.175875413513651,1.1371257147355913,0.939499816763296,1.0843812451065815,1.0038630204056564,0.9019509319855883,1.0601908857943174,0.7557098117927006,1.0,1.1795863863344473,1.0,0.9294243932515468,0.9957918562190102,1.039184280513319,0.9884345612351145,1.1134143429769747,0.9747277919384726,1.0,1.025782874180992,1.0212587596767084,1.0,1.099325279240702,1.0,1.1431578015023245
2019-06-14,1.175875413513651,1.1164437988539948,0.939499816763296,1.0843812451065815,1.0038630204056564,0.9259601565710326,1.0480733794024828,0.7816258668425445,1.0,1.1795863863344473,1.0,0.9316089649944197,1.0120106293125657,0.9593248926190494,1.004867583899925,1.1134143429769747,0.9719234117876269,1.0,0.9504195330070655,1.0278378551139555,1.0,1.099325279240702,1.0,1.1431578015023245
2019-06-15,1.1767000196655233,1.092676846421646,0.939499816763296,1.0843812451065815,1.0038630204056564,0.9459925492090666,1.0403481163416604,0.8051200461430051,1.0,1.2298506692186666,1.0,0.9320983137626501,1.0120106293125657,1.0047545882379707,1.004867583899925,1.1134143429769747,0.9662440509042645,1.0,0.9889833648412839,1.0294054266615353,1.0,1.1316374763119466,1.0,1.1832309792204891
2019-06-16,1.1822147886520509,1.1309313716959277,0.939499816763296,1.0843812451065815,1.0038630204056564,0.9459925492090666,1.0282317564677006,0.7954181040945808,1.0,1.2519988266724937,1.0,0.934958555268161,1.0120106293125657,1.0277910977606406,1.004867583899925,1.1134143429769747,0.9645822613572173,1.0,0.9953639963177272,1.035562052244482,1.0,1.1582505052521392,1.0,1.201324629217237
2019-06-17,1.1787078864538474,1.1459805861480872,0.939499816763296,1.0843812451065815,1.0038630204056564,0.9459925492090666,1.084900024337397,0.8312502487101128,1.0,1.2235842664210772,1.0,0.974202532810179,1.0120106293125657,1.0277910977606406,1.004867583899925,1.1134143429769747,0.9141927276290676,1.0,0.9808171836273504,1.1124815918490656,1.0,1.1348788789950301,1.0,1.1711191640159737
2019-06-18,1.1868273829247342,1.1459805861480872,0.9787661336428822,1.0843812451065815,1.0434325415315064,0.9459925492090666,1.1135906821796735,0.8312502487101128,1.0,1.257501491548378,1.0221801186450834,0.9948933355762355,1.0270221026213664,1.0277910977606406,1.004867583899925,1.1134143429769747,0.9354311387265605,1.0,0.9892842336071083,1.1124815918490656,1.0,1.1648042812355903,1.0,1.1931475873591437
2019-06-19,1.1868273829247342,1.1459805861480872,0.9787661336428822,1.0843812451065815,1.043619141156891,0.915144103521792,1.1141439379058486,0.7865318046162276,1.0,1.2816745264643525,1.0528505287779657,0.9955174545091396,1.0248784267649624,1.0277910977606406,1.004867583899925,1.1134143429769747,0.9381260682194267,1.0,0.9995118762539854,1.1124815918490656,1.0,1.184443686122335,1.0,1.2199501571086566
2019-06-20,1.201661816341164,1.1459805861480872,0.9787661336428822,1.0843812451065815,1.049110375657559,0.8657070191821733,1.117518245636844,0.7129050218135484,1.0,1.255617451517964,1.0528505287779657,1.0055825307447006,1.0048264050164681,1.0277910977606406,1.018873690966987,1.0917075683826705,0.9502076349493013,1.0,0.9924182130106829,1.1124815918490656,1.0,1.184443686122335,1.0,1.1997361443589178
2019-06-21,1.201661816341164,1.1459805861480872,0.9787661336428822,1.0843812451065815,1.0572160023919657,0.852968290971492,1.1286658366389524,0.6807690736256384,1.0,1.1927796312798575,1.0528505287779657,1.015136060361934,0.9836955227777274,1.0277910977606406,1.0373575411630742,1.0473268907072903,0.9639332862994989,1.0,1.005275828990493,1.1124815918490656,1.0,1.184443686122335,1.0,1.1463048937403182
2019-06-22,1.1957130887784408,1.1459805861480872,0.9787661336428822,1.0843812451065815,1.0572160023919657,0.8507935503648008,1.1286658366389524,0.6490135786857456,1.0,1.2265743319296503,1.0528505287779657,1.015136060361934,0.9864828349327522,1.0178877910344617,1.0373575411630742,1.04206920972988,0.9639332862994989,1.0,1.012445270775332,1.1124815918490656,1.0,1.184443686122335,1.0,1.178579495140599
2019-06-23,1.1996998857751797,1.1744125743655929,0.9803983398908254,1.0710167026284223,1.0572160023919657,0.872904320597849,1.1286658366389524,0.6587280774757518,1.0,1.1889002585249637,1.061886640164153,1.015136060361934,0.9701877247857523,0.9910718965044645,1.0373575411630742,1.031165181182532,0.9639332862994989,1.0,1.019049616129626,1.1124815918490656,1.0,1.184443686122335,1.0,1.1468906905387921
2019-06-24,1.2032071902538992,1.1348251519765475,0.9536533877551031,1.049526865372557,1.0156836463744172,0.872904320597849,1.1286658366389524,0.6760691373922709,1.0,1.1745437018537475,1.0421415206049298,1.015136060361934,0.9816743255703861,0.9932052115983304,1.0376875371329792,1.035554245726092,0.9639332862994989,1.0,1.019049616129626,1.1124815918490656,1.0,1.1748499950304507,1.0,1.1353048050884629
